,Text,Emotion
426,i feel hesitant to comment because i don t want to add to a pileon but it seems clear to me that those involved haven t learned from their past experiences nor are they interested in applying that learning to future projects,fear
427,i feel quite passionate about as communion is of tremendous importance to me personally and theologically,love
428,im feeling happy and well,joy
430,i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,joy
432,i were feeling energetic so we decided we were going to bike to the rest of the temples,joy
433,im really like she said only you can understand the way i feel toni ight she blamed excesses on the merican dream so seldom witnessed never er seen hah hah hah hah hah,sadness
434,i am happpy when i get good results in the field of academics or athletics,joy
435,i dont know where i want to work because there will always be something that makes me feel stressed or anxious at work whatever the job may be as all jobs require some sort of rules or pressure,sadness
436,id pop out of the chair feeling like i should be doing something more worthwhile,joy
437,i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,joy
438,i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,anger
439,i wonder how many people are against my do it only when you feel like it perspective but i think if you do it for the sake of doing it without wanting to do it then it will turn out to be the result of crappy work,sadness
440,i feel indecisive on whether or not i feel the book huckleberry finn should be censored,fear
441,i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan,sadness
442,i made the choice to start recognizing when that feeling of being unloved kicks in and to choose to keep my persistence at the same level not allowing that old reaction to shut me down,sadness
444,i still feel funny writing that like maybe i should call her my spirit guide or really observant cheerleader or something,surprise
445,i would rather feel nothing than feel this then do not be surprised if you find your life very depressing and grey and unrewarding,surprise
